Адрес,lat,lon
"пр-т. Партизанский, д. 105",53.8696028,27.648529
"пр-т. Партизанский, д.68",53.8725043,27.6372385
"Филатова, 5а",53.8719559,27.6339656
"Строителей, 6",53.8675411,27.6631715
"Байкальская, 66/2",53.8705883,27.6813053
"Ангарская, 48",53.8749718,27.687303
"Ангарская, 80",53.8776239,27.6815098
"Герасименко, 58-1",53.8860198,27.6792606
"Герасименко, д.27",53.8788826,27.6897904
"пер. Томский, д. 35",53.8709718,27.6804369
"Красина, д. 49",53.8246719,27.7644564
"Павловского, д. 40",53.8249383,27.7625457
"пр-д. Голодеда, д.7",53.8361845,27.6139075
"пр-д. Ташкентский, д.12",53.8354502,27.6275755
"Уборевича, д.160",53.8352182,27.6473059
"Шабаны, д. 3",53.8422714,27.6992806
"Яна Райниса, д. 5",53.8741914,27.6102592
"Игуменский тракт, 16",53.8450361,27.5685197
"Сырокомли, 30",53.8445814,27.5650101
"Сырокомли, д. 30",53.841321,27.5613346
"Чижевских, 134",53.8477947,27.5817036
"Игуменский тракт, 45",53.8373397,27.5755466
"Прушинских, 28",53.8348005,27.5856626
"Прушинских, 42",53.8359305,27.579416
"Прушинских, д. 24",53.8349765,27.5789432
"Козыревская, 16/29",53.8609743,27.5679968
"Козыревская, д.34",53.8630335,27.5675798
"Денисовская, д.49",53.8732491,27.5785236
"Маяковского, 166А",53.8626833,27.5703061
"Маяковского, 20",53.8784172,27.5676279
"Солнечная, 31",53.8642096,27.568877
"Бородинская, 35",53.8598482,27.5707115
"Маяковского, д. 99",53.8851062,27.5672945
"Маяковского, д.154",53.8853484,27.5673292
"Солнечная, 30-2",53.8638769,27.5713073
"пр-т. Рокоссовского, 25/2",53.8672982,27.6018168
"пр-т. Рокоссовского, д. 78",53.864546,27.603234
"Плеханова, 42",53.8641143,27.6091899
"Плеханова, 58/2",53.8724107,27.6247029
"Плеханова, 93",53.8606735,27.6029549
"Якубова, 48/2",53.8524724,27.5960267
"Якубова, 66-3",53.8524724,27.5960267
"Малинина, 30",53.8514602,27.601134
"Горовца, 34/2",53.874287,27.6042169
"Плеханова, д. 42",53.8630214,27.6068894
"пр-т. Рокосовского, д. 108",53.8757489,27.5972042
"Якубова, 32",53.8547071,27.5961643
"Яна Чечота, 26",53.8452538,27.4823965
"Яна Чечота, д.11",53.8489882,27.4796831
"Чюрлениса, д.26",53.8531723,27.491371
"Яна Чечота, 11",53.8502483,27.484444
"Яна Чечота, 7",53.8496419,27.4781107
"Наполеона Орды, д. 23",53.8449256,27.4851385
"Наполеона Орды, д.27",53.8449256,27.4851385
"Наполеона Орды, д.33",53.8460902,27.4870627
"Ежи Гедройца, 18",53.8512361,27.4823448
"Ежи Гедройца, д. 2",53.852381,27.4805152
"Ежи Гедройца, д.14",53.852381,27.4805152
"Ежи Гедройца, д.18",53.852381,27.4805152
"Наполеона Орды, 51",53.8494902,27.4882823
"Наполеона Орды, д. 51",53.8449256,27.4851385
"пр-т. Дзержинского, 119",53.8510014,27.476659
"пр-т. Дзержинского, 122",53.8514473,27.4744298
"пр-т. Дзержинского, 129",53.845743,27.4747474
"пр-т. Дзержинского, д. 131",53.8448191,27.4738855
"пр-т. Дзержинского, д.115",53.8561892,27.4798045
"пр-т. Дзержинского, д.119",53.8510014,27.476659
"пр-т. Дзержинского, д.131",53.8448191,27.4738855
"Грушевская, д.73",53.8796829,27.5087176
"Щорса, 8",53.8844008,27.5146524
"Железнодорожная, 134",53.8740619,27.5014015
"Папанина, д.15",53.8843165,27.5158332
"Щорса, д.11",53.886275,27.5151318
"Грушевская, д.17",53.8796829,27.5087176
"Грушевская, 15",53.8870408,27.5269421
"Рафиева, 66,",53.8622012,27.4405485
"Рафиева, д.44",53.8659653,27.4551455
"Рафиева, 94",53.8588687,27.4356019
"Есенина, 38",53.8519558,27.4523328
"Есенина, 73",53.8576548,27.4431484
"Есенина, д.6",53.8491428,27.4651626
"Слободская, 125,",53.8459456,27.4526168
"Слободской пр-д.., д. 6 ",53.8493345,27.4428598
"пр-т. Любимова, 33",53.8622739,27.4558536
"пр-т. Любимова, 37",53.862461,27.4542399
"пр-т. Любимова, д. 33",53.8622739,27.4558536
"пр-т. Любимова, д.42орп.1",,
"Рафиева, 54",53.865175,27.4478206
"Рафиева, 54А",53.8656582,27.4488226
"Рафиева, д.50",53.8651016,27.4538781
"Рафиева, д.54А",53.8659653,27.4551455
"Белецкого, д.46",53.857639,27.4552637
"пр-т. газ. ""Звезда"", 35",,
"пр-т. газ. ""Звезда"", д. 35 ",,
"пр-т. газ. ""Звезда"", д. 42",,
"пр-т. газ. ""Звезда"", д. 56 ",,
"пр-т. газ. ""Звязда"", 35",,
"пр-т. газ. ""Звязда"", 48",,
"пр-т. газ. ""Звязда"", 54",,
"Белецкого, д.2орп.7",,
"Рафиева, 78",53.861337,27.4386811
"Рафиева, д. 78 ",53.8651016,27.4538781
"Рафиева, д.113",53.8597285,27.4372825
"Рафиева, д.84",53.8651016,27.4538781
"Рафиева, д.90",53.873002,27.4648461
"пр-д. Слободской, 18",53.8513713,27.4477252
"Слободской пр-д., д.18",53.8513713,27.4477252
"Слободской пр-д.., д. 18",53.8513713,27.4477252
"Есенина, 11а",53.8480283,27.4627843
"Есенина, 131",53.8646036,27.4309082
"Есенина, 139",53.8633491,27.4303428
"Есенина, 22",53.8504009,27.4588649
"Есенина, 3/1",53.8493136,27.4631942
"Есенина, 30,",53.8516469,27.4553252
"Есенина, 31/1",53.8491428,27.4651626
"Есенина, 7",53.8485025,27.4640035
"Есенина, Д. 58",53.8490523,27.4731608
"Есенина, д. 73",53.8491428,27.4651626
"Есенина, д. 99",53.8493136,27.4631942
"Есенина, д.117",53.8491428,27.4651626
"Есенина, д.131",53.8491428,27.4651626
"Есенина, д.49",53.8491428,27.4651626
"Есенина, д.57",53.8491428,27.4651626
"Есенина, д.6орп.1",,
"Есенина, д.61",53.8491428,27.4651626
"Слободская, 149",53.8458354,27.4583928
"Слободская, 19",53.8604114,27.4323919
"Слободская, 31",53.8578192,27.4314567
"Слободская, 45",53.854136,27.4347403
"Слободская, д. 15",53.8490682,27.4698112
"Слободская, д. 31 ",53.8490682,27.4698112
"Слободская, д.107",53.8490682,27.4698112
"Слободская, д.117",53.8451503,27.4553194
"Слободская, д.29",53.8450359,27.4567621
"Слободская, д.45",53.844897,27.4576211
"Слободская, д.69",53.8451503,27.4553194
"Космонавтов, 3/6,",53.8537276,27.4620067
"Космонавтов, 30,",53.8491724,27.4546127
"Космонавтов, 37,",53.8479574,27.4579237
"Космонавтов, 44, ",53.8475458,27.4538388
"Космонавтов, д. 23/1",53.8539606,27.4670239
"Космонавтов, д. 5/1 ",53.8506904,27.4573592
"Космонавтов, д.48",53.8506904,27.4573592
"Громова, д. 20",53.8551391,27.4481297
"Громова, д. 22",53.8539663,27.4460472
"Есенина, 63,",53.856864,27.4432051
"Есенина, д. 11",53.8491428,27.4651626
"Космонавтов, 3-4,",53.8539606,27.4670239
"Тышкевичей, д.19",53.8797569,27.472052
"Льва Сапеги, д. 11",53.8765003,27.4942501
"Алибегова, 10,",53.8740905,27.4804006
"Льва Сапеги, д.9",53.8765003,27.4942501
"Гурского, 37,",53.8783642,27.4922847
"Прилукская, 42, ",53.8845386,27.4992796
"2-ой переулок Стасова, 9",,
"Коржа, д.7",53.8932752,27.5223995
"Коржа, д. 22",53.8932752,27.5223995
"Либкнехта, 67,",53.8938804,27.5247807
"Куприянова, д.9",53.8964095,27.5140749
"Р. Люксембург, 3А,",,
"пр-т. газ. ""Звязда"", 15,",,
"Рафиева, 25-1, ",53.8659653,27.4551455
"пр-т. Любимова, д.12",53.8600743,27.4697625
"пр-т. газ. ""Звезда"", д.14орп.3",,
"пр-т. газ. ""Звезда"", д.19",,
"пр-т. газ. ""Звезда"", д.23",,
"пр-т. газ. ""Звезда"", д.28орп.1",,
"пр-т. газ. ""Звязда"", 26,",,
"пр-т. газ. ""Правда"", 22, ",,
"пр-т. газ. ""Правда"", 3а",,
"пр-т. газ. ""Правда"", 42,",,
"пр-т. газ. ""Правда"", д. 54 ",,
"пр-т. газ. ""Правда"", д.9а",,
"пр-т. газ.""Правда"", 54, ",,
"пр-т. газ.""Правда"", д.60орп.2",,
"пр-т. Дзержинского, 9, ",53.891286,27.5317587
"пр-т. Дзержинского, д. 11 ",53.8879869,27.5220168
"пр-т. Дзержинского, д. 9 ",53.891286,27.5317587
"Жуковского, д.27",53.8794546,27.5499761
"Аэродромная, д. 17",53.8727474,27.5325768
"Воронянского, д. 3 ",53.8772198,27.5612884
"Воронянского, д.4орп.2",,
"Авакяна, д.30орп.3",,
"Короткевича, 4",53.8732546,27.5333995
"Воронянского, 15, ",53.8791025,27.5487659
"Воронянского, 15/2,",53.8790918,27.5539703
"Воронянского, д. 21",53.8790918,27.5539703
"Германовская, д. 9",53.8692038,27.5596686
"Могилёвская, 16, ",53.8842675,27.547153
"Могилевская, 36, ",53.8844172,27.556138
"Могилевская, д. 34/2 ",53.9074591,27.7993636
"Могилевская, д. 8/2 ",53.8854242,27.5451245
"Артиллеристов, д.20",53.8835327,27.5584135
"Аэродромная, 42,",53.8705581,27.5596949
"Жуковского, 25,",53.8786043,27.5530809
"Жуковского, д.5орп.1",,
"Левкова, д. 30",53.8819144,27.5562197
"Левкова, д.13",53.8819144,27.5562197
"Левкова, д.17",53.8819144,27.5562197
"Аэродромная, 34,",53.8712451,27.5573629
"Чкалова, д.15орп.1",,
"Казинца, д. 27А, о",,
"Брестская, д.79орп.2",,
"Корженевского, д. 1/2 ",53.8464704,27.5258044
"Корженевского, д.21",53.8464704,27.5258044
"Кижеватова, 16",53.8638073,27.530847
"Кижеватова, д.7орп.2",,
"Кобринская, д.6",53.858807,27.525378
"Ландера, 10,",53.8406772,27.4997994
"Ландера, 30,",53.8408688,27.4940534
"Ландера, д. 6",53.841125,27.4851062
"Казинца, д. 102",53.8444197,27.5052314
"Кижеватова, 66,",53.8476503,27.5346835
"пер. Корженевского, 10, ",53.8461996,27.528355
"пер. Корженевского, 2А, ",53.8446715,27.5258952
"пер. Корженевского, д.4",53.8464704,27.5258044
"Корженевского, 31, ",53.846252,27.5036953
"Кижеватова, 76, ",53.8451639,27.5322756
"Асаналиева, 2, ",53.8525145,27.5550652
"Асаналиева, д.7",53.851311,27.552832
"Пирогова, 11",53.8486828,27.5534759
"Асаналиева, 15,",53.8453487,27.5441075
"Авиации, д. 9",,
"Авиации, д.14",,
"Слесарная, д.20",53.9008678,27.5877016
"Багратиона, д. 30",53.910703,27.6328122
"Багратиона, д.73",53.9056754,27.6227063
"Авангардная, 52А,",53.9104104,27.6307421
"Высокая, 11В, ",53.915182,27.675
"Ботаническая, 17",53.9075949,27.6048345
"Кошевого, 30",53.8840589,27.6024191
"Ванеева, 26,",53.8798649,27.6096741
"Фабричная, д. 30",53.8856492,27.59158
"Ф. Скорины, 45,",,
"Калиновского, д. 66",53.9488269,27.6205571
"Водолажского, д. 23",53.944258,27.7065541
"Основателей, д.9",53.941499,27.7282061
"Карбышева, д. 7 ",53.9526478,27.6325414
"Калиновского, д. 53/1",53.9428262,27.6411589
"Седых, д. 48",53.9505932,27.6297547
"Карбышева, д. 9 ",53.9507082,27.6370809
"Калиновского, д. 14",53.9488269,27.6205571
"Кальварийская, 54-2,",53.9055079,27.5373224
"Острошицкая, 2А,",53.9493918,27.6938686
"Никифорова, д. 17",53.9390365,27.6927291
"Никифорова, 4",53.9378065,27.688621
"Руссиянова, д.29орп.1",,
"Руссиянова, д.30орп.2",,
"Шугаева, 11, ",53.9401988,27.6790184
"Шугаева, 9,",53.940538,27.6794672
"Руссиянова, д. 32/1 ",53.9336889,27.6898088
"Филимонова, д.39",53.929643,27.6395126
"Гамарника, д.7орп.1",,
"Мирошниченко, д.10орп.1",,
"Богдановича, д.72",53.9333112,27.57831
"Куйбышева, д. 67/1",53.9198207,27.5756125
"Старовиленская, 133,",53.9249747,27.5660575
"Сурганова, д.57",53.9311641,27.5778344
"Богдановича, д.82",53.9473013,27.5944352
Я. Коласа. 6,53.8386468,27.5274241
"Богдановича, 124,",53.9367585,27.5835022
"Я. Коласа, 15,",53.8386468,27.5274241
"Я. Коласа, 17,",53.8386468,27.5274241
"Восточная, 30,",53.9302979,27.591404
"Восточная, д.30",53.9519008,27.6064545
"Л. Беды, 29,",,
"Белинского, 54,",53.9383077,27.5924938
"Белинского, д.6",53.9379397,27.5929208
"Богдановича, 140, ",53.9390893,27.5853511
"Богдановича, д. 130",53.9111466,27.5594855
"Богдановича, д. 145/1",53.9111466,27.5594855
"пер. Инструментальный, 13,",53.9277265,27.6090439
"Волгодонская, д.10",53.9386716,27.6148406
"Кнорина, д.17Д",53.9353305,27.612171
"Логойский тракт, 6,",53.9400086,27.6079317
"Калинина, д. 30Б",53.9232865,27.6081714
"Беломорская, 23,",53.925637,27.5888425
"Логойский тракт, 15-2,",53.9437735,27.6091703
"2-й пер.Щедрина, 38""Б""",53.9356969,27.5484913
"Нововиленская, д. 23",53.9378084,27.532622
"Червякова, д.2орп.4,",,
"Каховская, 38,",53.9279958,27.5535634
"Старовиленский тракт, 69,",53.9284789,27.543483
"Карастояновой, д. 11А",53.934236,27.5641655
"Измайловская, д. 69",53.9414688,27.5796959
"Колесникова, д. 20 ",53.9166409,27.43678
"Колесникова, д. 30",53.9166409,27.43678
"Гаруна, 20,",53.9225452,27.4435905
"Аладовых, д. 7",53.9181778,27.4560802
"Аладовых, д.17",53.9181778,27.4560802
"Матусевича, 60, ",53.9183852,27.4588666
"Матусевича, 68",53.9183317,27.4535534
"Матусевича, 76, ",53.9180715,27.447346
"Матусевича, д.61",53.9176607,27.4538452
"Матусевича, д.72",53.9176607,27.4538452
"Матусевича, д.86",53.9156399,27.492236
"Игнатовского, 3,",53.9233261,27.4482727
"Игнатовского, д. 14",53.922863,27.4498509
"Чичурина, д.14",53.9176632,27.4646507
"Тимошенко, 20/3,",53.8967874,27.4605948
"Тимошенко, д. 24/1 ",53.8960075,27.4605722
"Тимошенко, д.32",53.8998104,27.463436
"Якубовского, 24",53.9018828,27.451754
"Притыцкого, д. 75",53.9067289,27.4605335
"2-й переулок Тимошенко, 3,",53.8942211,27.4597829
"Одинцова, д. 1/1",53.8998236,27.4471731
"Одинцова, д. 2/2 ",53.89907,27.4614724
"Одинцова, д.18орп.1",,
"Одинцова, д.29",53.901223,27.4282174
"Бурдейного, 19,",53.90364,27.4504092
"Бурдейного, 20,",53.9051292,27.4443698
"Бурдейного, 25, ",53.9039229,27.4474482
"Бурдейного, 59,",53.9043496,27.4381599
"Бурдейного, д. 37",53.9043005,27.4534296
"Бурдейного, д. 39",53.9043005,27.4534296
"Бурдейного, д.10",53.9043005,27.4534296
"Бурдейного, д.14",53.9043005,27.4534296
"Бурдейного, д.37",53.9043005,27.4534296
"Бурдейного, д.59",53.9043005,27.4534296
"Бурдейного, д.7",53.9043005,27.4534296
"Одинцова, 19, ",53.8981042,27.4508276
"Одинцова, 5,",53.8976319,27.4577206
"Притыцкого, 91, ",53.9056227,27.4443709
"Притыцкого, д. 91 ",53.9081852,27.4770571
"Тимошенко, 36, ",53.8955928,27.462479
"Тимошенко, 8",53.9059521,27.4621634
"Тимошенко, д. 20/3",53.8967874,27.4605948
"Тимошенко, д.20орп.2",,
"Тимошенко, д.24орп.1",,
"Тимошенко, д.36",53.8967874,27.4605948
"Якубовского, 17,",53.902099,27.4548935
"Якубовского, д. 24/1 ",53.8984722,27.4530275
"Притыцкого, д.73",53.9081852,27.4770571
"Якубовского, 78,",53.894676,27.4420259
"Одинцова, д.11",53.8998236,27.4471731
"Бурдейного, 10, ",53.9051191,27.452083
"Бурдейного, 2""А"",",53.9048472,27.4607669
"Притыцкого, д. 77",53.9061169,27.4523506
"Бурдейного, д. 18",53.9043005,27.4534296
"Тимошенко, д.28",53.8967874,27.4605948
"Неманская, 4,",53.9089928,27.4267205
"Неманская, д.31",53.9215926,27.428506
"Лидская, 14,",53.9221062,27.4312262
"Кунцевщина, 15,",53.9112519,27.4336169
"Кунцевщина, 17, ",53.9123188,27.4328344
"Кунцевщина, д.7",53.9114384,27.444141
"Казимировская, 15,",53.9161774,27.4245006
"Каменногорская, 10, ",53.9115578,27.4176699
"Каменногорская, 16, ",53.9128888,27.4193997
"Каменногорская, 20, ",53.9132263,27.4175695
"Каменногорская, д.22",53.9320992,27.4269425
"Неманская, 46,",53.9141934,27.4277369
"Неманская, 57,",53.9240179,27.4273893
"Неманская, 77, ",53.9256178,27.4289537
"Неманская, д. 3",53.9215926,27.428506
"Неманская, д. 42",53.9222349,27.4286014
"Неманская, д. 5 ",53.9215926,27.428506
"Неманская, д. 52",53.9215926,27.428506
"Неманская, д. 6 ",53.9215926,27.428506
"Неманская, д. 62",53.9222349,27.4286014
"Неманская, д.3",53.9215926,27.428506
"Неманская, д.6",53.9116911,27.4264725
"Лидская, 16,",53.9226309,27.4296666
"Лидская, 4, ",53.9217217,27.4355459
"Налибокская, 18,",53.9284603,27.4348332
"Налибокская, 32, ",53.9297335,27.4335285
"Налибокская, 34, ",53.9289193,27.433617
"Налибокская, 34,",53.9289193,27.433617
"Налибокская, д. 37",53.9281112,27.4287717
"Налибокская, д. 4",53.9281112,27.4287717
"Налибокская, д.4",53.9281112,27.4287717
"Налибокская, д.46",53.9281112,27.4287717
"Каменногорская, 96,",53.9315205,27.4273772
"Каменногорская, д.108",53.9285527,27.423795
"Люцинская, д. 25",53.9327589,27.440494
"Скрипникова, 4, ",53.8895435,27.4219547
"Скрипникова, д.33",53.9051546,27.4245433
"Мазурова, д. 4",53.8959678,27.4240182
"Лобанка, 13/1,",53.8991067,27.434985
"Лобанка, 13-1, ",53.893822,27.4301695
"Лобанка, д.14",53.8991067,27.434985
"Одинцова, д.97",53.9013053,27.4255359
"Скрипникова, д. 29",53.9012575,27.4237018
"Скрипникова, д. 4",53.9051546,27.4245433
"Скрипникова, д.15",53.9008096,27.4233963
"Скрипникова, д.1992",53.9012575,27.4237018
"Скрипникова, д.7",53.9051546,27.4245433
"Одинцова, 49,",53.8965378,27.4426609
"Одинцова, д. 43 ",53.89907,27.4614724
"Одинцова, д. 44",53.89907,27.4614724
"Одинцова, д. 79/1",53.901223,27.4282174
"Одинцова, 109,",53.9002661,27.4310491
"Одинцова, 119,",53.9006232,27.425249
"Одинцова, д.105",53.8998236,27.4471731
"Кунцевщина, д. 6",53.9114384,27.444141
"Притыцкого, 78, ",53.9073694,27.4438846
"Притыцкого, 122",53.9105181,27.4424203
"Лещинского, 31-2,",53.9128449,27.4505651
"Лещинского, 33-2,",53.9170565,27.4495108
"Лещинского, 53,",53.9162036,27.448932
"Лещинского, д. 17 ",53.9170565,27.4495108
"Лещинского, д. 27",53.9170565,27.4495108
"Лещинского, д. 37",53.9092762,27.452689
"Лещинского, д.41",53.9128449,27.4505651
"Притыцкого, д.84",53.9061169,27.4523506
"Кунцевщина, 6,",53.9096458,27.4385226
"Кунцевщина, д.30",53.9114384,27.444141
"Кунцевщина, д.48",53.9114384,27.444141
"Брикета, 26,",53.9081387,27.4126553
"Брикета, д. 12, о",,
"Кунцевщина, д. 32 ",53.9114384,27.444141
"Привабная, 5,",53.9002474,27.469991
"Ярковская, 9",53.8994765,27.4691645
"пр-т. Пушкина, д. 55",53.9128921,27.4941578
"Притыцкого, д.46",53.9067289,27.4605335
"Притыцкого, 32, ",53.9097485,27.4932811
"Матусевича, 7/21,",53.9174604,27.4471902
"Жудро, 21",53.9135749,27.4787706
"Жудро, 51,",53.9184254,27.4784577
"Жудро, д. 67",53.9137685,27.4800442
"Жудро, д.49",53.9097772,27.4807306
"Матусевича, д. 32",53.9176607,27.4538452
"Глебки, д.84",53.9260013,27.4779912
"Ольшевского, 9/1,",53.9099851,27.5067303
"пр-т. Пушкина, 50,",53.9161921,27.4958835
"пр-т. Пушкина, 56,",53.9168457,27.4980501
"пр-т. Пушкина, д. 40/3",53.9254412,27.5050723
"пр-т. Пушкина, д.61",53.9140056,27.4928669
"пр-т. Пушкина, д.66",53.9191302,27.4985811
"пр-т. Пушкина, д.67",53.916333,27.4938569
"Бирюзова, 19,",53.9122509,27.5096312
"Бирюзова, д. 23",53.9123749,27.5132931
"Жудро, 22",53.9125745,27.4817148
"Скрыганова, д.4 ""б""",53.9099348,27.519459
"Янковского, 34,",53.8780396,27.4539308
"Янковского, д. 40",53.8801005,27.4521377
"Сухаревская, 46, ",53.8890252,27.4270834
"Сухаревская, д. 28",53.8857102,27.4373885
"Лобанка, д.85",53.893822,27.4301695
"Горецкого, д.5орп.2",,
"Горецкого, 29,",53.8847624,27.4452545
"Горецкого, 17,",53.8821864,27.4498102
"Горецкого, 20,",53.8874917,27.4486434
"Горецкого, д.31",53.8874707,27.4439971
"Горецкого, д.17",53.8951179,27.434971
"Чайлытко, д. 1",53.8866256,27.437773
"Чайлытко, д. 13",53.8866256,27.437773
"Чайлытко, д.14",53.8877776,27.4390225
"Чайлытко, д.20",53.8866256,27.437773
"Горецкого, 29",53.8847624,27.4452545
"Горецкого, д. 26",53.891939,27.4377455
"Янковского, 32, ",53.878181,27.4528968
"Янковского, 32,",53.878181,27.4528968
"Янковского, 44,",53.8805573,27.4540085
"Горецкого, 39",53.8852607,27.4445527
"Горецкого, 41, ",53.8856333,27.4438347
"Шаранговича, 35,",53.8815815,27.4479449
"Шаранговича, 46,",53.8833373,27.4410061
"Шаранговича, 64, ",53.8826649,27.4291491
"Шаранговича, 72,",53.8814169,27.4282009
"Шаранговича, 76,",53.8818951,27.4267008
"Шаранговича, 78,",53.8820929,27.4259496
"Шаранговича, 80,",53.8815515,27.4255173
"Шаранговича, д. 78 ",53.8844403,27.4472294
"Шаранговича, д.27",53.8837839,27.445729
"Шаранговича, д.45",53.8813354,27.4327553
"Мачульского, 24, ",53.8778658,27.4434028
Ши,53.9050057,27.5429121
"Горецкого, 51, ",53.8872442,27.4431447
"ак.Карского, 3,",53.8768167,27.4467103
"Сухаревская, 34, ",53.8892724,27.4333959
"Сухаревская, 34,",53.8892724,27.4333959
"Сухаревская, 46,",53.8890252,27.4270834
"Сухаревская, 61,",53.8858695,27.4205785
"Сухаревская, д. 26 ",53.8879613,27.4293957
"Сухаревская, д. 62",53.8857102,27.4373885
"Сухаревская, д.27",53.8857102,27.4373885
"Сухаревская, д.38орп.2",,
"Сухаревская, д.46",53.8857102,27.4373885
"Сухаревская, д.5",53.8854896,27.4376328
"Сухаревская, д.69",53.8878656,27.4294167
"Горецкого, д. 69 ",53.8951179,27.434971
"Федорова, д. 13",53.8809119,27.4250839
"Федорова, д. 17/2",53.8809119,27.4250839
"Федорова, д.5",53.8809119,27.4250839
"Федорова, д.9",53.8850874,27.4273785
"Лобанка, 75, ",53.8895211,27.4297506
"Лобанка, д. 108",53.9045998,27.4357368
"Лобанка, д. 97",53.893822,27.4301695
"Лобанка, д.110",53.9045998,27.4357368
"Лобанка, д.78",53.893822,27.4301695
"Лобонка, д. 52",,
"Шамякина, д.5",53.8941896,27.4246062
"Панченко, 74,",53.8928448,27.4168216
"Панченко, д. 20 ",53.8936331,27.41504
"Панченко, д. 38",53.8896431,27.4150362
"Панченко, д. 44 ",53.8936331,27.41504
"Панченко, д. 54",53.8936331,27.41504
"Панченко, д. 70",53.8896431,27.4150362
"Шаранговича, 52,",53.8821825,27.4361141
"Сухаревская, д.1",53.8878656,27.4294167
"Горецкого, д. 61",53.8874707,27.4439971
"Лобанка, 91,",53.8849026,27.431041
"Одоевского, 81,",53.902452,27.4943164
"Одоевского, д.117",53.9015826,27.4743662
"Кириенко, 3,",,
"Бельского, 23, ",53.9033039,27.4821614
"Бельского, 37, ",53.8986138,27.4820131
"Бельского, 39-1,",53.9043412,27.4814659
"Бельского, д.39орп.1",,
"Пономаренко, д. 32 ",53.8938628,27.4945742
"Мавра, 42,",53.898725,27.4877734
"Мавра, д. 5",53.8993204,27.4902127
"Мавра, д.21",53.8993204,27.4902127
"Бельского, д.2",53.8973071,27.4813823
"пр-т. Пушкина, д. 14, о",,
"Одоевского, д. 30",53.9019306,27.479364
"Притыцкого, 41, ",53.9068338,27.4773954
"Притыцкого, д.49",53.9061169,27.4523506
"Дунина-Марцынкевича, 6, ",,
"Дунина-Марцынкевича, д.10",,
"Одоевского, д.37",53.9024061,27.4874942
"Берута, 4/3, ",53.905201,27.5025801
"Берута, 4-2,",53.905201,27.5025801
"Бельского, д. 12",53.9062253,27.4812391
"Мавра, 50,",53.8975913,27.4885563
"Радужная, 6, ",53.9326229,27.4935434
"Л. Украинки, 12-1, ",,
"Л. Украинки, д. 8-2 ",,
"Тимирязева, д. 90",53.9160851,27.5208954
"Орловская, 86-4, ",53.9296178,27.5236797
"Радужная, 10,",53.9345261,27.4971771
"Радужная, 13,",53.9326236,27.4883325
"Радужная, 4/1, ",53.9329574,27.4930222
"Радужная, 9,",53.9322996,27.4870037
"Л. Украинки, 20,",,
"Л. Украинки, 6/4,",,
"Радужная, д. 10 ",53.9336191,27.4941859
"пр-т. Победителей, 95/1, ",53.930159,27.5127474
"Ермака, д.",53.9675513,27.5100214
"пр-т. Победителей, 127,",53.940361,27.4675274
"Камайская, 20, ",53.9378338,27.4538294
"Ратомская, 15, ",53.9388276,27.4559556
"пр-т. Победителей, д.127",53.940361,27.4675274
"Ильянская, 4,",53.9330505,27.4731714
"Лынькова, 9, ",53.9267975,27.4937488
"Глебки, 114,",53.9268128,27.4807879
"Глебки, д. 112",53.9236778,27.4753886
"Лынькова, 85/4",53.9231845,27.472842
"Лынькова, д.99В",53.9242669,27.4730132
"пр-т. Пушкина, 85, ",53.9230292,27.5010165
"6-ой Путепроводный переулок, 3,",,
"Чигладзе, 31,",53.9258045,27.4943709
"Лынькова, 23,",53.9274811,27.4864214
"Лынькова, д.9",53.9203502,27.4694292
Ушачская,53.9593539,27.533171
"Выготского, 43,",53.9585467,27.5494872
"Новинковская,",53.9588724,27.5415742
"Стадионная, 5,",53.9372717,27.5355908
"Киселева, 28,",53.9148579,27.5631162
"Куйбышева, 30,",53.9169914,27.5741732
"Заславская, д. 13",53.9106223,27.5406389
"Заславская, 12, ",53.9115834,27.536903
"Заславская, д.17",53.9106223,27.5406389
"пр-т. Победителей, д. 43/2",53.9155349,27.5344362
"Мельникайте, 12,",53.9088523,27.5446128
"Обойная, д. 4/1 ",53.906968,27.5441843
"пр-т. Машерова, д.54",53.9179778,27.5576068
"пр-т. Победителей, 51, ",53.9175539,27.5324442
"пр-т. Победителей, д.57",53.9201233,27.5289264
"пер. Покровский, д",,
"Сухая, д.4",53.903385,27.5382796
"Кирова, д. 17",53.8964719,27.5573448
"Короля, 49,",53.9048807,27.5354989
"Московская, 7,",53.8891789,27.539762
"Комсомольская, 48Б,",53.9002533,27.554736
"Советская, 8,",53.8939914,27.5425904
"пр-т. Победителей, 1/2,",53.9360702,27.4966159
"Романовская Слобода, д.24",53.902126,27.54355
"Старожовская, д. 8 ",,
"Кирова, 8",53.8949605,27.5558341
"Немига, 12,",53.9031018,27.5492341
"Володарского, ",53.8965153,27.551286
"пр-т. Независимости, 44, ",53.9115662,27.5793993
